voivodeship_id,city_PL,city_EN
1,Wrocław,Wrocław
1,Wałbrzych,Wałbrzych
1,Legnica,Legnica
1,Jelenia Góra,Jelenia Góra
1,Lubin,Lubin
1,Głogów,Głogów
1,Świdnica,Świdnica
1,Bolesławiec,Bolesławiec
1,Oleśnica,Oleśnica
1,Oława,Oława
1,Jawor,Jawor
1,Zgorzelec,Zgorzelec
1,Polkowice,Polkowice
1,Dzierżoniów,Dzierżoniów
1,Kłodzko,Kłodzko
1,Nowa Ruda,Nowa Ruda
1,Trzebnica,Trzebnica
1,Strzelin,Strzelin
1,Milicz,Milicz
1,Świebodzice,Świebodzice
1,Ząbkowice Śląskie,Ząbkowice Śląskie
1,Lubań,Lubań
1,Kamienna Góra,Kamienna Góra
1,Bielawa,Bielawa
1,Chojnów,Chojnów
1,Bystrzyca Kłodzka,Bystrzyca Kłodzka
1,Brzeg Dolny,Brzeg Dolny
1,Boguszów-Gorce,Boguszów-Gorce
1,Oborniki Śląskie,Oborniki Śląskie
1,Siechnice,Siechnice
1,Kąty Wrocławskie,Kąty Wrocławskie
1,Środa Śląska,Środa Śląska
1,Wołów,Wołów
1,Miękinia,Miękinia
1,Czernica,Czernica
1,Długołęka,Długołęka
1,Kobierzyce,Kobierzyce
1,Żórawina,Żórawina
1,Jordanów Śląski,Jordanów Śląski
1,Smolec,Smolec
1,Kamieniec Wrocławski,Kamieniec Wrocławski
1,Bielany Wrocławskie,Bielany Wrocławskie
1,Tyniec Mały,Tyniec Mały
1,Mirków,Mirków
1,Chrząstawa Mała,Chrząstawa Mała
1,Chrząstawa Wielka,Chrząstawa Wielka
1,Radwanice,Radwanice
1,Święta Katarzyna,Święta Katarzyna
1,Żerniki Wrocławskie,Żerniki Wrocławskie
1,Łagiewniki,Łagiewniki
1,Niemcza,Niemcza
1,Piława Górna,Piława Górna
1,Żmigród,Żmigród
1,Prusice,Prusice
1,Syców,Syców
1,Twardogóra,Twardogóra
1,Wińsko,Wińsko
1,Przeworno,Przeworno
1,Kondratowice,Kondratowice
1,Ciepłowody,Ciepłowody
1,Ziębice,Ziębice
1,Zawonia,Zawonia
1,Żórawina,Żórawina
1,Marcinkowice,Marcinkowice
1,Domaniow,Domaniow
1,Łagiewniki Śląskie,Łagiewniki Śląskie
2,Bydgoszcz,Bydgoszcz
2,Toruń,Toruń
2,Włocławek,Włocławek
2,Grudziądz,Grudziądz
2,Inowrocław,Inowrocław
2,Brodnica,Brodnica
2,Świecie,Świecie
2,Chełmno,Chełmno
2,Chełmża,Chełmża
2,Solec Kujawski,Solec Kujawski
2,Żnin,Żnin
2,Mogilno,Mogilno
2,Radziejów,Radziejów
2,Lipno,Lipno
2,Rypin,Rypin
2,Tuchola,Tuchola
2,Nakło nad Notecią,Nakło nad Notecią
2,Sępólno Krajeńskie,Sępólno Krajeńskie
2,Janikowo,Janikowo
2,Pakość,Pakość
2,Kruszwica,Kruszwica
2,Barcin,Barcin
2,Łabiszyn,Łabiszyn
2,Koronowo,Koronowo
2,Solec Kujawski,Solec Kujawski
2,Nowe,Nowe
2,Śliwice,Śliwice
2,Cekcyn,Cekcyn
2,Kęsowo,Kęsowo
2,Osielsko,Osielsko
2,Białe Błota,Białe Błota
2,Łochowo,Łochowo
2,Łochowice,Łochowice
2,Brzoza,Brzoza
2,Tryszczyn,Tryszczyn
2,Żołędowo,Żołędowo
2,Niemcz,Niemcz
2,Strzelce Górne,Strzelce Górne
2,Strzelce Dolne,Strzelce Dolne
2,Pruszcz,Pruszcz
2,Dobrcz,Dobrcz
2,Wtelno,Wtelno
2,Sicienko,Sicienko
2,Mrocza,Mrocza
2,Kcynia,Kcynia
2,Więcbork,Więcbork
2,Kamień Krajeński,Kamień Krajeński
2,Skórcz,Skórcz
2,Topólka,Topólka
2,Chodecz,Chodecz
2,Izbica Kujawska,Izbica Kujawska
2,Brześć Kujawski,Brześć Kujawski
2,Kowal,Kowal
2,Chrostkowo,Chrostkowo
2,Skrwilno,Skrwilno
2,Brzuze,Brzuze
2,Rogowo,Rogowo
2,Golub-Dobrzyń,Golub-Dobrzyń
2,Dobrzyń nad Wisłą,Dobrzyń nad Wisłą
2,Zbójno,Zbójno
2,Ciechocin,Ciechocin
2,Obrowo,Obrowo
2,Lubicz,Lubicz
2,Wielka Nieszawka,Wielka Nieszawka
2,Mała Nieszawka,Mała Nieszawka
2,Łysomice,Łysomice
2,Papowo Toruńskie,Papowo Toruńskie
2,Turzno,Turzno
2,Chełmża (wieś),Chełmża (wieś)
2,Kijewo Królewskie,Kijewo Królewskie
2,Unisław,Unisław
2,Gruta,Gruta
2,Radzyn Chełmiński,Radzyn Chełmiński
2,Łasin,Łasin
2,Jabłonowo Pomorskie,Jabłonowo Pomorskie
2,Bartniczka,Bartniczka
2,Zbiczno,Zbiczno
2,Osiek,Osiek
2,Świekatowo,Świekatowo
2,Dragacz,Dragacz
2,Jeżewo,Jeżewo
2,Pruszcz (kujawsko-pomorskie),Pruszcz (kujawsko-pomorskie)
2,Nowe Marzy,Nowe Marzy
2,Gruczno,Gruczno
2,Lnian,Lnian
2,Osięciny,Osięciny
2,Topólka,Topólka
2,Piotrków Kujawski,Piotrków Kujawski
2,Dąbrowa Biskupia,Dąbrowa Biskupia
2,Złotniki Kujawskie,Złotniki Kujawskie
2,Rojewo,Rojewo
2,Inowrocław (wieś),Inowrocław (wieś)
2,Pakość (wieś),Pakość (wieś)
2,Barcin (wieś),Barcin (wieś)
2,Janowiec Wielkopolski,Janowiec Wielkopolski
2,Gąsawa,Gąsawa
2,Rogowo (żniński),Rogowo (żniński)
2,Damasławek,Damasławek
2,Mogilno (wieś),Mogilno (wieś)
2,Strzelno,Strzelno
2,Radziejów (wieś),Radziejów (wieś)
2,Bytoń,Bytoń
